restaurant_id,house_no,street_name,[street_name],city_name,[city_name],_,_,_
44,21267,stevens creek blvd,stevens:::creek:::blvd:::,cupertino,cupertino:::,_,_,_
45,10215,anthony pl,anthony:::pl:::,cupertino,cupertino:::,_,_,_
46,10145,n de anza blvd,n:::de:::anza:::blvd:::,cupertino,cupertino:::,_,_,_
47,10700,s de anza blvd,s:::de:::anza:::blvd:::,cupertino,cupertino:::,_,_,_
48,10343,n wolfe rd,n:::wolfe:::rd:::,cupertino,cupertino:::,_,_,_
49,10343,n wolfe rd,n:::wolfe:::rd:::,cupertino,cupertino:::,_,_,_
50,20807,stevens creek blvd,stevens:::creek:::blvd:::,cupertino,cupertino:::,_,_,_
51,371,gellert blvd,gellert:::blvd:::,daly city,daly:::city:::,_,_,_
52,387,diablo rd,diablo:::rd:::,danville,danville:::,_,_,_
53,807,camino ramon,camino:::ramon:::,danville,danville:::,_,_,_
54,185,railroad,railroad:::,danville,danville:::,_,_,_
55,117,town and country dr ste a,town:::and:::country:::dr:::ste:::a:::,danville,danville:::,_,_,_
56,7505,dublin blvd,dublin:::blvd:::,dublin,dublin:::,_,_,_
57,7944,dublin blvd,dublin:::blvd:::,dublin,dublin:::,_,_,_
58,7265,amador valley blvd,amador:::valley:::blvd:::,dublin,dublin:::,_,_,_
59,7783,amador valley blvd,amador:::valley:::blvd:::,dublin,dublin:::,_,_,_
60,6120,potrero ave,potrero:::ave:::,el cerrito,el:::cerrito:::,_,_,_
61,10,el cerrito plz,el:::cerrito:::plz:::,el cerrito,el:::cerrito:::,_,_,_
62,4006,granada rd,granada:::rd:::,el sobrante,el:::sobrante:::,_,_,_
63,1776,powell st,powell:::st:::,emeryville,emeryville:::,_,_,_
64,5750,christie ave,christie:::ave:::,emeryville,emeryville:::,_,_,_
65,5862,doyle st,doyle:::st:::,emeryville,emeryville:::,_,_,_
66,260,pittman rd,pittman:::rd:::,fairfield,fairfield:::,_,_,_
67,1360,holiday ln,holiday:::ln:::,fairfield,fairfield:::,_,_,_
68,2980,travis blvd,travis:::blvd:::,fairfield,fairfield:::,_,_,_
69,1545,webster st # a,webster:::st:::#:::a:::,fairfield,fairfield:::,_,_,_
70,1955,texas st,texas:::st:::,fairfield,fairfield:::,_,_,_
71,2390,n texas st,n:::texas:::st:::,fairfield,fairfield:::,_,_,_
72,39131,fremont blvd,fremont:::blvd:::,fremont,fremont:::,_,_,_
73,5280,mowry ave,mowry:::ave:::,fremont,fremont:::,_,_,_
74,46645,mission blvd,mission:::blvd:::,fremont,fremont:::,_,_,_
75,40800,fremont blvd,fremont:::blvd:::,fremont,fremont:::,_,_,_
76,36930,fremont blvd,fremont:::blvd:::,fremont,fremont:::,_,_,_
77,4628,ariel ave,ariel:::ave:::,fremont,fremont:::,_,_,_
78,5339,mowry ave,mowry:::ave:::,fremont,fremont:::,_,_,_
79,39350,paseo padre pky,paseo:::padre:::pky:::,fremont,fremont:::,_,_,_
80,39170,argonaut way,argonaut:::way:::,fremont,fremont:::,_,_,_
81,3241,walnut avenue,walnut:::avenue:::,fremont,fremont:::,_,_,_
82,20413,hesperian blvd,hesperian:::blvd:::,hayward,hayward:::,_,_,_
83,30163,industrial pky sw,industrial:::pky:::sw:::,hayward,hayward:::,_,_,_
84,24100,mission blvd,mission:::blvd:::,hayward,hayward:::,_,_,_
85,25010,hesperian blvd,hesperian:::blvd:::,hayward,hayward:::,_,_,_
86,191,san felipe rd # g,san:::felipe:::rd:::#:::g:::,hollister,hollister:::,_,_,_
87,526,san benito st,san:::benito:::st:::,hollister,hollister:::,_,_,_
88,3201,mount diablo blvd,mount:::diablo:::blvd:::,lafayette,lafayette:::,_,_,_
89,3535,mount diablo blvd,mount:::diablo:::blvd:::,lafayette,lafayette:::,_,_,_
90,3659,happy valley rd,happy:::valley:::rd:::,lafayette,lafayette:::,_,_,_
91,3474,mount diablo blvd,mount:::diablo:::blvd:::,lafayette,lafayette:::,_,_,_
92,117,s s st,s:::s:::st:::,livermore,livermore:::,_,_,_
93,2293,1st st,1st:::st:::,livermore,livermore:::,_,_,_
94,875,rincon ave,rincon:::ave:::,livermore,livermore:::,_,_,_
95,2310,homestead rd,homestead:::rd:::,los altos,los:::altos:::,_,_,_
96,4710,el camino real,el:::camino:::real:::,los altos,los:::altos:::,_,_,_
97,130,n. santa cruz ave.,n.:::santa:::cruz:::ave.:::,los gatos,los:::gatos:::,_,_,_
98,206,n santa cruz ave,n:::santa:::cruz:::ave:::,los gatos,los:::gatos:::,_,_,_
99,500,center ave,center:::ave:::,martinez,martinez:::,_,_,_
100,3925,alhambra ave,alhambra:::ave:::,martinez,martinez:::,_,_,_
101,200,serra way # 170,serra:::way:::#:::170:::,milpitas,milpitas:::,_,_,_
102,1181,e calaveras blvd,e:::calaveras:::blvd:::,milpitas,milpitas:::,_,_,_
103,333,s abbott ave,s:::abbott:::ave:::,milpitas,milpitas:::,_,_,_
104,18599,sutter blvd,sutter:::blvd:::,morgan hill,morgan:::hill:::,_,_,_
105,65,w main ave,w:::main:::ave:::,morgan hill,morgan:::hill:::,_,_,_
106,1991,w el camino real,w:::el:::camino:::real:::,mountain view,mountain:::view:::,_,_,_
107,1000,imola ave,imola:::ave:::,napa,napa:::,_,_,_
108,1044,los carneros ave,los:::carneros:::ave:::,napa,napa:::,_,_,_
109,1175,trancas st,trancas:::st:::,napa,napa:::,_,_,_
110,5,financial plz ste 120,financial:::plz:::ste:::120:::,napa,napa:::,_,_,_
111,359,1st st,1st:::st:::,napa,napa:::,_,_,_
112,376,soscol ave,soscol:::ave:::,napa,napa:::,_,_,_
113,3958,bel aire plz,bel:::aire:::plz:::,napa,napa:::,_,_,_
114,5989,mowry ave,mowry:::ave:::,newark,newark:::,_,_,_
115,1031,newpark mall,newpark:::mall:::,newark,newark:::,_,_,_
116,405,hegenberger rd,hegenberger:::rd:::,oakland,oakland:::,_,_,_
117,1300,clay st ste 600,clay:::st:::ste:::600:::,oakland,oakland:::,_,_,_
118,1000,cotton st,cotton:::st:::,oakland,oakland:::,_,_,_
119,601,hegenberger rd,hegenberger:::rd:::,oakland,oakland:::,_,_,_
120,1620,chestnut st,chestnut:::st:::,oakland,oakland:::,_,_,_
121,3017,san pablo ave,san:::pablo:::ave:::,oakland,oakland:::,_,_,_
122,6118,medau pl,medau:::pl:::,oakland,oakland:::,_,_,_
123,412,14th st,14th:::st:::,oakland,oakland:::,_,_,_
124,3701,grand ave,grand:::ave:::,oakland,oakland:::,_,_,_
125,1916,franklin st,franklin:::st:::,oakland,oakland:::,_,_,_
126,1211,embarcadero,embarcadero:::,oakland,oakland:::,_,_,_
127,8475,edes ave,edes:::ave:::,oakland,oakland:::,_,_,_
128,3859,piedmont ave,piedmont:::ave:::,oakland,oakland:::,_,_,_
129,1,broadway,broadway:::,oakland,oakland:::,_,_,_
130,51,embarcadero cv,embarcadero:::cv:::,oakland,oakland:::,_,_,_
131,495,embarcadero,embarcadero:::,oakland,oakland:::,_,_,_
132,2477,monterey blvd,monterey:::blvd:::,oakland,oakland:::,_,_,_
133,101,broadway,broadway:::,oakland,oakland:::,_,_,_
134,5239,telegraph ave,telegraph:::ave:::,oakland,oakland:::,_,_,_
135,127,town and country vlg,town:::and:::country:::vlg:::,palo alto,palo:::alto:::,_,_,_
136,445,emerson st.,emerson:::st.:::,palo alto,palo:::alto:::,_,_,_
137,27,university ave,university:::ave:::,palo alto,palo:::alto:::,_,_,_
138,556,emerson,emerson:::,palo alto,palo:::alto:::,_,_,_
139,529,alma st.,alma:::st.:::,palo alto,palo:::alto:::,_,_,_
140,265,lytton ave,lytton:::ave:::,palo alto,palo:::alto:::,_,_,_
141,1921,el camino real,el:::camino:::real:::,palo alto,palo:::alto:::,_,_,_
142,185,university ave,university:::ave:::,palo alto,palo:::alto:::,_,_,_
143,34,dormidera ave,dormidera:::ave:::,piedmont,piedmont:::,_,_,_
144,2454,san pablo ave,san:::pablo:::ave:::,pinole,pinole:::,_,_,_
145,2400,san pablo ave,san:::pablo:::ave:::,pinole,pinole:::,_,_,_
146,3788,railroad,railroad:::,pittsburg,pittsburg:::,_,_,_
147,3200,buskirk ave,buskirk:::ave:::,pleasant hill,pleasant:::hill:::,_,_,_
148,612,contra costa blvd,contra:::costa:::blvd:::,pleasant hill,pleasant:::hill:::,_,_,_
149,624,contra costa blvd,contra:::costa:::blvd:::,pleasant hill,pleasant:::hill:::,_,_,_
150,2059,contra costa blvd,contra:::costa:::blvd:::,pleasant hill,pleasant:::hill:::,_,_,_
151,4801,hopyard rd,hopyard:::rd:::,pleasanton,pleasanton:::,_,_,_
152,6455,owens dr,owens:::dr:::,pleasanton,pleasanton:::,_,_,_
153,6464,owens dr,owens:::dr:::,pleasanton,pleasanton:::,_,_,_
154,4887,hopyard rd,hopyard:::rd:::,pleasanton,pleasanton:::,_,_,_
155,5121,hopyard rd,hopyard:::rd:::,pleasanton,pleasanton:::,_,_,_
156,12976,san pablo ave,san:::pablo:::ave:::,richmond,richmond:::,_,_,_
157,145,tweksbury ave.,tweksbury:::ave.:::,richmond,richmond:::,_,_,_
158,1950,esplanade,esplanade:::,richmond,richmond:::,_,_,_
159,35,e. richmond ave.,e.:::richmond:::ave.:::,richmond,richmond:::,_,_,_
160,49,washington ave.,washington:::ave.:::,richmond,richmond:::,_,_,_
161,180,s airport blvd,s:::airport:::blvd:::,south san francisco,south:::san:::francisco:::,_,_,_
162,641,main st,main:::st:::,saint helena,saint:::helena:::,_,_,_
163,1245,spring st,spring:::st:::,saint helena,saint:::helena:::,_,_,_
164,1270,el camino real # 1272,el:::camino:::real:::#:::1272:::,san bruno,san:::bruno:::,_,_,_
165,1250,grundy ln,grundy:::ln:::,san bruno,san:::bruno:::,_,_,_
166,1250,grundy ln,grundy:::ln:::,san bruno,san:::bruno:::,_,_,_
167,216,church,church:::,san francisco,san:::francisco:::,_,_,_
168,840,ulloa,ulloa:::,san francisco,san:::francisco:::,_,_,_
169,222,mason,mason:::,san francisco,san:::francisco:::,_,_,_
170,500,presidion avenue,presidion:::avenue:::,san francisco,san:::francisco:::,_,_,_
171,the fairmont,the:::fairmont:::,san francisco,san:::francisco:::,_,_,_
172,1300,battery st,battery:::st:::,san francisco,san:::francisco:::,_,_,_
173,55,stevenson,stevenson:::,san francisco,san:::francisco:::,_,_,_
174,2100,van ness avenue,van:::ness:::avenue:::,san francisco,san:::francisco:::,_,_,_
175,339,taylor,steak,prime rib,taylor::::::steak::::::prime:::rib:::,san francisco,san:::francisco:::,_,_,_
176,3349,steiner,steiner:::,san francisco,san:::francisco:::,_,_,_
177,4320,mission,mission:::,san francisco,san:::francisco:::,_,_,_
178,96,mc allister,mc:::allister:::,san francisco,san:::francisco:::,_,_,_
179,198,5th,5th:::,san francisco,san:::francisco:::,_,_,_
180,607,front,front:::,san francisco,san:::francisco:::,_,_,_
181,1944,union,union:::,san francisco,san:::francisco:::,_,_,_
182,wharf,wharf:::,san francisco,san:::francisco:::,_,_,_
183,2197,fillmore,fillmore:::,san francisco,san:::francisco:::,_,_,_
184,1151,folsom,folsom:::,san francisco,san:::francisco:::,_,_,_
185,395,hayes,hayes:::,san francisco,san:::francisco:::,_,_,_
186,150,s 1st st,s:::1st:::st:::,san jose,san:::jose:::,_,_,_
187,150,s 1st st ste 111,s:::1st:::st:::ste:::111:::,san jose,san:::jose:::,_,_,_
188,1753,n 1st st,n:::1st:::st:::,san jose,san:::jose:::,_,_,_
189,2820,s white rd,s:::white:::rd:::,san jose,san:::jose:::,_,_,_
190,exp/riveroaks,exp/riveroaks:::,san jose,san:::jose:::,_,_,_
191,1051,blossom hill rd,blossom:::hill:::rd:::,san jose,san:::jose:::,_,_,_
192,3758,stevens creek blvd # 9,stevens:::creek:::blvd:::#:::9:::,san jose,san:::jose:::,_,_,_
193,620,blossom hill rd,blossom:::hill:::rd:::,san jose,san:::jose:::,_,_,_
194,780,s winchester blvd,s:::winchester:::blvd:::,san jose,san:::jose:::,_,_,_
195,2831,meridian ave,meridian:::ave:::,san jose,san:::jose:::,_,_,_
196,981,blossom hill rd,blossom:::hill:::rd:::,san jose,san:::jose:::,_,_,_
197,15011,hesperian blvd,hesperian:::blvd:::,san leandro,san:::leandro:::,_,_,_
198,1803,marina blvd,marina:::blvd:::,san leandro,san:::leandro:::,_,_,_
199,15015,freedom ave,freedom:::ave:::,san leandro,san:::leandro:::,_,_,_
200,201,davis st,davis:::st:::,san leandro,san:::leandro:::,_,_,_
201,14660,washington ave,washington:::ave:::,san leandro,san:::leandro:::,_,_,_
202,105,w 25th ave,w:::25th:::ave:::,san mateo,san:::mateo:::,_,_,_
203,3101,s el camino real,s:::el:::camino:::real:::,san mateo,san:::mateo:::,_,_,_
204,2410,san ramon valley blvd #130,san:::ramon:::valley:::blvd:::#130:::,san ramon,san:::ramon:::,_,_,_
205,10,boardwalk pl,boardwalk:::pl:::,san ramon,san:::ramon:::,_,_,_
206,2410,san ramon valley blvd #130,san:::ramon:::valley:::blvd:::#130:::,san ramon,san:::ramon:::,_,_,_
207,2410,san ramon valley blvd,san:::ramon:::valley:::blvd:::,san ramon,san:::ramon:::,_,_,_
208,2570,el camino real,el:::camino:::real:::,santa clara,santa:::clara:::,_,_,_
209,2886,sycamore way,sycamore:::way:::,santa clara,santa:::clara:::,_,_,_
210,2705,the alameda,the:::alameda:::,santa clara,santa:::clara:::,_,_,_
211,2018,mission st,mission:::st:::,santa cruz,santa:::cruz:::,_,_,_
212,429,front st,front:::st:::,santa cruz,santa:::cruz:::,_,_,_
213,801,bridgeway,bridgeway:::,sausalito,sausalito:::,_,_,_
214,1879,rockville rd,rockville:::rd:::,suisun city,suisun:::city:::,_,_,_
215,108,g sunset shopping center,g:::sunset:::shopping:::center:::,suisun city,suisun:::city:::,_,_,_
216,603,& 605 main st,&:::605:::main:::st:::,suisun city,suisun:::city:::,_,_,_
217,1314,s mary ave,s:::mary:::ave:::,sunnyvale,sunnyvale:::,_,_,_
218,122,s. sunnyvale ave.,s.:::sunnyvale:::ave.:::,sunnyvale,sunnyvale:::,_,_,_
219,122,s. sunnyvale ave.,s.:::sunnyvale:::ave.:::,sunnyvale,sunnyvale:::,_,_,_
220,mathilda at hwy 237,mathilda:::at:::hwy:::237:::,sunnyvale,sunnyvale:::,_,_,_
221,122,s. sunnyvale ave.,s.:::sunnyvale:::ave.:::,sunnyvale,sunnyvale:::,_,_,_
222,34396,alvarado niles rd,alvarado:::niles:::rd:::,union city,union:::city:::,_,_,_
223,31860,alvarado blvd,alvarado:::blvd:::,union city,union:::city:::,_,_,_
224,4355,sonoma blvd,sonoma:::blvd:::,vallejo,vallejo:::,_,_,_
225,250,fairgrounds dr,fairgrounds:::dr:::,vallejo,vallejo:::,_,_,_
226,730,lincoln rd e,lincoln:::rd:::e:::,vallejo,vallejo:::,_,_,_
227,980,admiral callaghan ln,admiral:::callaghan:::ln:::,vallejo,vallejo:::,_,_,_
228,199,lincoln rd w,lincoln:::rd:::w:::,vallejo,vallejo:::,_,_,_
229,950,sherwood ave,sherwood:::ave:::,vallejo,vallejo:::,_,_,_
230,44,admiral callaghan ln,admiral:::callaghan:::ln:::,vallejo,vallejo:::,_,_,_
231,1411,locust st,locust:::st:::,walnut creek,walnut:::creek:::,_,_,_
232,2387,n main st,n:::main:::st:::,walnut creek,walnut:::creek:::,_,_,_
233,700,bancroft rd,bancroft:::rd:::,walnut creek,walnut:::creek:::,_,_,_
234,1387,locust st,locust:::st:::,walnut creek,walnut:::creek:::,_,_,_
235,660,ygnacio valley rd,ygnacio:::valley:::rd:::,walnut creek,walnut:::creek:::,_,_,_
236,1750,n main st,n:::main:::st:::,walnut creek,walnut:::creek:::,_,_,_
237,1101,s california blvd,s:::california:::blvd:::,walnut creek,walnut:::creek:::,_,_,_
238,850,s brd,s:::brd:::,walnut creek,walnut:::creek:::,_,_,_
239,6510,washington st,washington:::st:::,yountville,yountville:::,_,_,_
240,215,west portal avenue,west:::portal:::avenue:::,san francisco,san:::francisco:::,_,_,_
241,unknown,unknown:::,unknown,unknown:::,_,_,_
242,22,hawthorne st,hawthorne:::st:::,san francisco,san:::francisco:::,_,_,_
243,1,mission st,mission:::st:::,san francisco,san:::francisco:::,_,_,_
244,london square,london:::square:::,oakland,oakland:::,_,_,_
245,305,harbor dr.,harbor:::dr.:::,sausalito,sausalito:::,_,_,_
246,1200,grant avenue,grant:::avenue:::,novato,novato:::,_,_,_
247,1360,locust st,locust:::st:::,walnut creek,walnut:::creek:::,_,_,_
248,1230,grant ave.,grant:::ave.:::,san francisco,san:::francisco:::,_,_,_
249,2799,lone tree way,lone:::tree:::way:::,antioch,antioch:::,_,_,_
250,st,st:::,byron,byron:::,_,_,_
251,303,soscol ave,soscol:::ave:::,napa,napa:::,_,_,_
252,301,rohnert park expy w,rohnert:::park:::expy:::w:::,rohnert park,rohnert:::park:::,_,_,_
253,1350,farmers ln,farmers:::ln:::,santa rosa,santa:::rosa:::,_,_,_
254,unknown,unknown:::,unknown,unknown:::,_,_,_
255,1901,mendocino ave,mendocino:::ave:::,santa rosa,santa:::rosa:::,_,_,_
256,3703,main,main:::,sebastopol,sebastopol:::,_,_,_
257,2353,lombard st,lombard:::st:::,san francisco,san:::francisco:::,_,_,_
258,2010,rollingwood drive,rollingwood:::drive:::,san bruno,san:::bruno:::,_,_,_
259,5970,san felipe rd,san:::felipe:::rd:::,hollister,hollister:::,_,_,_
260,teresa and bernal,teresa:::and:::bernal:::,san jose,san:::jose:::,_,_,_
261,3955,freedom circle,freedom:::circle:::,santa clara,santa:::clara:::,_,_,_
262,unknown,unknown:::,unknown,unknown:::,_,_,_
263,651,emerson st,emerson:::st:::,palo alto,palo:::alto:::,_,_,_
264,1160,coleman ave.,coleman:::ave.:::,san jose,san:::jose:::,_,_,_
265,rita rd.& rosewood dr.,rita:::rd.&:::rosewood:::dr.:::,pleasanton,pleasanton:::,_,_,_
266,st,st:::,livermore,livermore:::,_,_,_
267,855,main st,main:::st:::,pleasanton,pleasanton:::,_,_,_
268,620,airport drive,airport:::drive:::,san carlos,san:::carlos:::,_,_,_
269,163,w santa clara st,w:::santa:::clara:::st:::,san jose,san:::jose:::,_,_,_
270,drive,drive:::,san rafael,san:::rafael:::,_,_,_
271,4096,bay st,bay:::st:::,fremont,fremont:::,_,_,_
272,7th & west g,7th:::&:::west:::g:::,banta,banta:::,_,_,_
273,10201,old redwood hwy,old:::redwood:::hwy:::,pengrove,pengrove:::,_,_,_
274,corner 16th & market,corner:::16th:::&:::market:::,san francisco,san:::francisco:::,_,_,_
275,3991,st,st:::,san francisco,san:::francisco:::,_,_,_
276,3634,sacramento st. @ locust,sacramento:::st.:::@:::locust:::,san francisco,san:::francisco:::,_,_,_
277,330,tennant station,tennant:::station:::,morgan hill,morgan:::hill:::,_,_,_
279,340,division st,division:::st:::,san francisco,san:::francisco:::,_,_,_
280,2325,taraval st,taraval:::st:::,san francisco,san:::francisco:::,_,_,_
281,3140,alpine rd,alpine:::rd:::,portola valley,portola:::valley:::,_,_,_
282,9900,sonoma hwy.,sonoma:::hwy.:::,kenwood,kenwood:::,_,_,_
283,1717,adobe canyon rd,adobe:::canyon:::rd:::,kenwood,kenwood:::,_,_,_
284,st,st:::,san carlos,san:::carlos:::,_,_,_
285,st,st:::,benicia,benicia:::,_,_,_
286,square,square:::,san francisco,san:::francisco:::,_,_,_
287,15,harbor st,harbor:::st:::,san rafael,san:::rafael:::,_,_,_
288,4000,s. el camino real,s.:::el:::camino:::real:::,san mateo,san:::mateo:::,_,_,_
289,75,arbor rd.,arbor:::rd.:::,menlo park,menlo:::park:::,_,_,_
290,5634,college ave.,college:::ave.:::,oakland,oakland:::,_,_,_
291,751,e. el camino real,e.:::el:::camino:::real:::,sunnyvale,sunnyvale:::,_,_,_
292,1940,taraval,taraval:::,san francisco,san:::francisco:::,_,_,_
293,620,lighthouse avenue,lighthouse:::avenue:::,pacific grove,pacific:::grove:::,_,_,_
294,822,irving st,irving:::st:::,san francisco,san:::francisco:::,_,_,_
295,antonio rd,antonio:::rd:::,los altos,los:::altos:::,_,_,_
296,42,columbus ave.,columbus:::ave.:::,san francisco,san:::francisco:::,_,_,_
297,ramon blvd.,ramon:::blvd.:::,san ramon,san:::ramon:::,_,_,_
298,1695,st @ clay,st:::@:::clay:::,san francisco,san:::francisco:::,_,_,_
299,2274,lombard st,lombard:::st:::,san francisco,san:::francisco:::,_,_,_
300,14515,big basin way,big:::basin:::way:::,saratoga,saratoga:::,_,_,_
301,445,blossom hill rd.,blossom:::hill:::rd.:::,san jose,san:::jose:::,_,_,_
302,2,theatre square,theatre:::square:::,orinda,orinda:::,_,_,_
303,3955,freedom circle,freedom:::circle:::,santa clara,santa:::clara:::,_,_,_
304,1695,polk st @ clay,polk:::st:::@:::clay:::,san francisco,san:::francisco:::,_,_,_
305,1250,bayshore hwy,bayshore:::hwy:::,burlingame,burlingame:::,_,_,_
306,1115,willow st,willow:::st:::,san jose,san:::jose:::,_,_,_
307,8200,arroyo circle,arroyo:::circle:::,gilroy,gilroy:::,_,_,_
308,1658,market st. at franklin st.,market:::st.:::at:::franklin:::st.:::,san francisco,san:::francisco:::,_,_,_
309,450,water st,water:::st:::,oakland,oakland:::,_,_,_
310,5400,sunol blvd,sunol:::blvd:::,pleasanton,pleasanton:::,_,_,_
311,5765,christie ave.,christie:::ave.:::,emeryville,emeryville:::,_,_,_
312,740,sutter st,sutter:::st:::,san francisco,san:::francisco:::,_,_,_
313,and callendar,and:::callendar:::,inverness,inverness:::,_,_,_
314,4050,byway east,byway:::east:::,napa,napa:::,_,_,_
315,5121,hopyard rd,hopyard:::rd:::,pleasanton,pleasanton:::,_,_,_
316,1680,willow pass rd,willow:::pass:::rd:::,concord,concord:::,_,_,_
317,3800,valley vista rd.,valley:::vista:::rd.:::,walnut creek,walnut:::creek:::,_,_,_
318,336,bryant st.,bryant:::st.:::,mountain view,mountain:::view:::,_,_,_
319,800,southampton rd,southampton:::rd:::,benicia,benicia:::,_,_,_
320,207,west main avenue,west:::main:::avenue:::,morgan hill,morgan:::hill:::,_,_,_
321,1349,park st,park:::st:::,alameda,alameda:::,_,_,_
322,550,showers dr. / walmart shopping center,showers:::dr.:::/:::walmart:::shopping:::center:::,mountain view,mountain:::view:::,_,_,_
323,63,ellis st,ellis:::st:::,san francisco,san:::francisco:::,_,_,_
324,240,california,california:::,san francisco,san:::francisco:::,_,_,_
325,1699,van ness ave,van:::ness:::ave:::,san francisco,san:::francisco:::,_,_,_
326,601,van ness ave,van:::ness:::ave:::,san francisco,san:::francisco:::,_,_,_
327,2468,junipero serra bl.,junipero:::serra:::bl.:::,daly city,daly:::city:::,_,_,_
328,1676,n. california blvd.,n.:::california:::blvd.:::,walnut creek,walnut:::creek:::,_,_,_
330,lake resort,lake:::resort:::,mammoth lakes,mammoth:::lakes:::,_,_,_
331,1528 tavern rd,1528:::tavern:::rd:::,mammoth lakes,mammoth:::lakes:::,_,_,_
332,2421,larkspur landing circle,larkspur:::landing:::circle:::,larkspur,larkspur:::,_,_,_
333,unknown,unknown:::,unknown,unknown:::,_,_,_
334,56,gold st,gold:::st:::,san francisco,san:::francisco:::,_,_,_
335,511,hayes st,hayes:::st:::,san francisco,san:::francisco:::,_,_,_
336,rd. at i-580,rd.:::at:::i-580:::,pleasanton,pleasanton:::,_,_,_
337,rd. at i-580,rd.:::at:::i-580:::,pleasanton,pleasanton:::,_,_,_
338,345,healdsburg avenue,healdsburg:::avenue:::,healdsburg,healdsburg:::,_,_,_
339,2029,market st,market:::st:::,san francisco,san:::francisco:::,_,_,_
340,1437,lincoln ave.,lincoln:::ave.:::,calistoga,calistoga:::,_,_,_
341,1163,san carlos ave,san:::carlos:::ave:::,san carlos,san:::carlos:::,_,_,_
342,1440,lincoln ave.,lincoln:::ave.:::,calistoga,calistoga:::,_,_,_
343,1200,el paseo de saratoga,el:::paseo:::de:::saratoga:::,san jose,san:::jose:::,_,_,_
344,2329,n. fremont,n.:::fremont:::,monterey,monterey:::,_,_,_
345,546,university ave.,university:::ave.:::,palo alto,palo:::alto:::,_,_,_
346,347,primrose rd,primrose:::rd:::,burlingame,burlingame:::,_,_,_
347,899,el camino real,el:::camino:::real:::,san bruno,san:::bruno:::,_,_,_
348,1200,6th. st,6th.:::st:::,san francisco,san:::francisco:::,_,_,_
349,408,main st,main:::st:::,half moon bay,half:::moon:::bay:::,_,_,_
