state,state_abbreviation,name,population
new jersey,nj,paterson,137970
new jersey,nj,elizabeth,106201
new jersey,nj,trenton,92124
new jersey,nj,woodbridge,90074
new jersey,nj,camden,84910
new jersey,nj,east orange,77878
new jersey,nj,clifton,74388
new jersey,nj,edison,70193
new jersey,nj,cherry hill,68785
new jersey,nj,bayonne,65047
new jersey,nj,middletown,61615
new jersey,nj,irvington,61493
new mexico,nm,albuquerque,331767
new york,ny,new york,7071639
new york,ny,buffalo,357870
new york,ny,rochester,241741
new york,ny,yonkers,195351
new york,ny,syracuse,170105
new york,ny,albany,101727
new york,ny,cheektowaga,92145
new york,ny,utica,75632
new york,ny,niagara falls,71384
new york,ny,new rochelle,70794
new york,ny,schenectady,67972
new york,ny,mount vernon,66713
new york,ny,irondequoit,57648
new york,ny,levittown,57045
north carolina,nc,charlotte,314447
north carolina,nc,greensboro,155642
north carolina,nc,raleigh,149771
north carolina,nc,winston-salem,131885
north carolina,nc,durham,100538
north carolina,nc,high point,64107
north carolina,nc,fayetteville,59507
north dakota,nd,fargo,61308
ohio,oh,cleveland,573822
ohio,oh,columbus,564871
ohio,oh,cincinnati,385457
ohio,oh,toledo,354635
ohio,oh,akron,237177
ohio,oh,dayton,203371
ohio,oh,youngstown,115436
ohio,oh,canton,93077
ohio,oh,parma,92548
ohio,oh,lorain,75416
ohio,oh,springfield,72563
ohio,oh,hamilton,63189
ohio,oh,lakewood,61963
ohio,oh,kettering,61186
ohio,oh,euclid,59999
ohio,oh,elyria,57504
oklahoma,ok,oklahoma city,403213
oklahoma,ok,tulsa,360919
oklahoma,ok,lawton,80054
oklahoma,ok,norman,68020
oregon,or,portland,366383
oregon,or,eugene,105664
oregon,or,salem,89233
pennsylvania,pa,philadelphia,1688210
pennsylvania,pa,pittsburgh,423938
pennsylvania,pa,erie,119123
pennsylvania,pa,allentown,103758
pennsylvania,pa,scranton,88117
pennsylvania,pa,upper darby,84054
pennsylvania,pa,reading,78686
pennsylvania,pa,bethlehem,70419
pennsylvania,pa,lower merion,59651
pennsylvania,pa,abingdon,59084
pennsylvania,pa,bristol township,58733
pennsylvania,pa,penn hills,57632
pennsylvania,pa,altoona,57078
rhode island,ri,providence,156804
rhode island,ri,warwick,87123
rhode island,ri,cranston,71992
rhode island,ri,pawtucket,71204
south carolina,sc,columbia,101229
south carolina,sc,charleston,69855
south carolina,sc,north charleston,62504
south carolina,sc,greenville,58242
south dakota,sd,sioux falls,81343
tennessee,tn,memphis,646356
tennessee,tn,nashville,455651
tennessee,tn,knoxville,175030
tennessee,tn,chattanooga,169728
texas,tx,houston,1595138
texas,tx,dallas,904078
texas,tx,san antonio,785880
texas,tx,el paso,425259
texas,tx,fort worth,385164
texas,tx,austin,345496
texas,tx,corpus christi,231999
texas,tx,lubbock,173979
texas,tx,arlington,160123
texas,tx,amarillo,149230
texas,tx,garland,138857
texas,tx,beaumont,118102
texas,tx,pasadena,112560
texas,tx,irving,109943
texas,tx,waco,101261
texas,tx,abilene,98315
texas,tx,wichita falls,94201
texas,tx,laredo,91449
texas,tx,odessa,90027
texas,tx,brownsville,84997
texas,tx,san angelo,73240
texas,tx,richardson,72496
texas,tx,plano,72331
texas,tx,grand prairie,71462
texas,tx,midland,70525
texas,tx,tyler,70508
texas,tx,mesquite,67053
texas,tx,mcallen,67042
texas,tx,longview,62762
texas,tx,port arthur,61195
utah,ut,salt lake city,163034
utah,ut,provo,74111
utah,ut,west valley,72299
utah,ut,ogden,64407
virginia,va,norfolk,266979
virginia,va,virginia beach,262199
virginia,va,richmond,219214
virginia,va,arlington,152599
virginia,va,newport news,144903
virginia,va,hampton,122617
virginia,va,chesapeake,114226
virginia,va,portsmouth,104577
virginia,va,alexandria,103217
virginia,va,roanoke,100427
virginia,va,lynchburg,66743
washington,wa,seattle,493846
washington,wa,spokane,171300
washington,wa,tacoma,158501
washington,wa,bellevue,73903
west virginia,wv,charleston,63968
west virginia,wv,huntington,63684
wisconsin,wi,milwaukee,636212
wisconsin,wi,madison,170616
wisconsin,wi,green bay,87899
wisconsin,wi,racine,85725
wisconsin,wi,kenosha,77685
wisconsin,wi,west allis,63982
wisconsin,wi,appleton,58913
wyoming,wy,casper,51016
